old_symbol	new_symbol
PXMP1	ABCD3
ABCD4	ABCD4
PMP69	ABCD4
P70R	ABCD4
EST352188	ABCD4
PXMP1L	ABCD4
ABCE1	ABCE1
RLI	ABCE1
OABP	ABCE1
RLI1	ABCE1
RNASEL1	ABCE1
RNASELI	ABCE1
RNS4I	ABCE1
ABCF1	ABCF1
EST123147	ABCF1
ABC50	ABCF1
ABCF2	ABCF2
EST133090	ABCF2
ABC28	ABCF2
M-ABC1	ABCF2
HUSSY-18	ABCF2
ABCF3	ABCF3
EST201864	ABCF3
ABCG1	ABCG1
ABC8	ABCG1
ABCG2	ABCG2
EST157481	ABCG2
MXR	ABCG2
BCRP	ABCG2
ABCP	ABCG2
CD338	ABCG2
ABCG4	ABCG4
WHITE2	ABCG4
ABCG5	ABCG5
STSL	ABCG5
ABCG8	ABCG8
GBD4	ABCG8
ABHD1	ABHD1
LABH1	ABHD1
FLJ36128	ABHD1
ABHD2	ABHD2
LABH2	ABHD2
ABHD3	ABHD3
LABH3	ABHD3
ABHD4	ABHD4
FLJ12816	ABHD4
ABHD5	ABHD5
CGI-58	ABHD5
NCIE2	ABHD5
ABHD6	ABHD6
ABHD8	ABHD8
FLJ11743	ABHD8
MGC14280	ABHD8
MGC2512	ABHD8
ABHD10	ABHD10
FLJ11342	ABHD10
ABHD11	ABHD11
PP1226	ABHD11
WBSCR21	ABHD11
ABHD12	ABHD12
DKFZP434P106	ABHD12
dJ965G21.2	ABHD12
BEM46L2	ABHD12
ABHD12A	ABHD12
C20orf22	ABHD12
ABHD12B	ABHD12B
BEM46L3	ABHD12B
C14orf29	ABHD12B
ABHD13	ABHD13
bA153I24.2	ABHD13
FLJ14906	ABHD13
BEM46L1	ABHD13
C13orf6	ABHD13
ABHD14A	ABHD14A
DKFZP564O243	ABHD14A
DORZ1	ABHD14A
ABHD14B	ABHD14B
MGC15429	ABHD14B
CIB	ABHD14B
ABHD15	ABHD15
ABHD16A	ABHD16A
NG26	ABHD16A
D6S82E	ABHD16A
BAT5	ABHD16A
ABHD16B	ABHD16B
dJ591C20.1	ABHD16B
C20orf135	ABHD16B
ABHD17A	ABHD17A
MGC5244	ABHD17A
C19orf27	ABHD17A
FAM108A1	ABHD17A
ABHD17B	ABHD17B
CGI-67	ABHD17B
C9orf77	ABHD17B
FAM108B1	ABHD17B
ABHD17C	ABHD17C
FAM108C1	ABHD17C
ABHD18	ABHD18
FLJ21106	ABHD18
C4orf29	ABHD18
ABI1	ABI1
E3B1	ABI1
ABI-1	ABI1
SSH3BP1	ABI1
ABI2	ABI2
ABI-2	ABI2
AIP-1	ABI2
ABI2B	ABI2
AblBP3	ABI2
argBPIA	ABI2
SSH3BP2	ABI2
ABI3	ABI3
NESH	ABI3
SSH3BP3	ABI3
ABI3BP	ABI3BP
NESHBP	ABI3BP
DKFZP586L2024	ABI3BP
TARSH	ABI3BP
ABL1	ABL1
JTK7	ABL1
c-ABL	ABL1
p150	ABL1
ABL	ABL1
ABL2	ABL2
ARG	ABL2
ABLL	ABL2
ABLIM1	ABLIM1
abLIM	ABLIM1
limatin	ABLIM1
LIMAB1	ABLIM1
ABLIM	ABLIM1
ABLIM2	ABLIM2
KIAA1808	ABLIM2
ABLIM3	ABLIM3
KIAA0843	ABLIM3
ABO	ABO
A3GALNT	ABO
A3GALT1	ABO
ABR	ABR
MDB	ABR
ABRA	ABRA
STARS	ABRA
ABRACL	ABRACL
PRO2013	ABRACL
HSPC280	ABRACL
Costars	ABRACL
C6orf115	ABRACL
ABRAXAS1	ABRAXAS1
FLJ13614	ABRAXAS1
ABRA1	ABRAXAS1
ABRAXAS	ABRAXAS1
CCDC98	ABRAXAS1
FAM175A	ABRAXAS1
ABRAXAS2	ABRAXAS2
Em:AC068896.4	ABRAXAS2
ABRO1	ABRAXAS2
KIAA0157	ABRAXAS2
FAM175B	ABRAXAS2
ABT1	ABT1
Esf2	ABT1
ABTB1	ABTB1
BPOZ	ABTB1
EF1ABP	ABTB1
Btb3	ABTB1
BTBD21	ABTB1
ABTB2	ABTB2
DKFZP586C1619	ABTB2
BTBD22	ABTB2
ABTB2A	ABTB2
ACAA1	ACAA1
ACAA2	ACAA2
DSAEC	ACAA2
ACACA	ACACA
ACC1	ACACA
ACAC	ACACA
ACC	ACACA
ACACB	ACACB
HACC275	ACACB
ACC2	ACACB
ACCB	ACACB
ACAD8	ACAD8
ACAD9	ACAD9
NPD002	ACAD9
MGC14452	ACAD9
ACAD10	ACAD10
MGC5601	ACAD10
ACAD11	ACAD11
FLJ12592	ACAD11
ACADL	ACADL
LCAD	ACADL
ACAD4	ACADL
ACADM	ACADM
MCAD	ACADM
MCADH	ACADM
ACAD1	ACADM
ACADS	ACADS
SCAD	ACADS
ACAD3	ACADS
ACADSB	ACADSB
SBCAD	ACADSB
ACAD7	ACADSB
ACADVL	ACADVL
VLCAD	ACADVL
LCACD	ACADVL
ACAD6	ACADVL
ACAN	ACAN
CSPGCP	ACAN
MSK16	ACAN
CSPG1	ACAN
AGC1	ACAN
ACAP1	ACAP1
KIAA0050	ACAP1
CENTB1	ACAP1
ACAP2	ACAP2
KIAA0041	ACAP2
CNT-B2	ACAP2
CENTB2	ACAP2
ACAP3	ACAP3
KIAA1716	ACAP3
CENTB5	ACAP3
ACAT1	ACAT1
THIL	ACAT1
ACAT	ACAT1
ACAT2	ACAT2
ACBD3	ACBD3
GCP60	ACBD3
PAP7	ACBD3
GOLPH1	ACBD3
GOCAP1	ACBD3
ACBD4	ACBD4
FLJ13322	ACBD4
ACBD5	ACBD5
DKFZp434A2417	ACBD5
KIAA1996	ACBD5
ACBD6	ACBD6
MGC2404	ACBD6
ACBD7	ACBD7
FLJ38219	ACBD7
bA455B2.2	ACBD7
ACCS	ACCS
PHACS	ACCS
ACS	ACCS
ACCSL	ACCSL
ACD	ACD
Ptop	ACD
Pip1	ACD
Tpp1	ACD
Tint1	ACD
ACE	ACE
ACE1	ACE
CD143	ACE
DCP1	ACE
ACE2	ACE2
ACER1	ACER1
ASAH3	ACER1
ACER2	ACER2
FLJ41587	ACER2
ALKCDase2	ACER2
ASAH3L	ACER2
ACER3	ACER3
FLJ11238	ACER3
APHC	ACER3
PHCA	ACER3
ACHE	ACHE
YT	ACHE
ACIN1	ACIN1
KIAA0670	ACIN1
fSAP152	ACIN1
ACINUS	ACIN1
ACKR1	ACKR1
CCBP1	ACKR1
GPD	ACKR1
