ANKRD33
BHMT2
BTN3A3
C1orf127
C1QTNF8
CALHM2
CD33
CDK15
CTB-133G6.1
CWH43
DPYD
EMR2
FAM92B
FLG
GCA
GJB2
HTR2B
HTR2B
LIFR
LINC00935
LSP1
MICALCL
MSRA
MYO1A
MYO1A
PLD2
PRDM9
RP11-293M10.1
RP11-552I14.1
SAMD9
SLC26A10
SLC27A3
TRDN
USP45
ZBBX
ZBTB24
ZSCAN16
