x
ABCC8
ABL1
ACTN1
ADRA1A
ADRA2A
ALB
APP
ATP1A1
BMPR2
CACNA1C
CAMLG
CD19
CD274
CD33
CD3D
CD44
CD52
CKM
CNR1
CPS1
CRHR1
CTLA4
DRD2
EPCAM
ERBB2
ESR1
F13B
F8
FADS1
FCER1A
FGA
FGFR2
FN1
FOLH1
FSHR
FTL
GHR
GHRHR
HBA1
IFNAR1
IFNAR2
IFNGR1
IL12B
IL17A
IL1B
IL2RA
IL5RA
IL6R
INSR
ITGA4
ITGB3
KCNJ1
KCNK3
KCNMA1
KEAP1
LHCGR
M6PR
MB
MRC1
MS4A1
MTNR1A
NR3C1
OPRK1
PDCD1
PDGFRB
PDXK
PGR
PPARA
PPARG
PTH1R
RFK
RYR1
SCTR
SLAMF7
SLC18A2
SLC1A5
SLC6A2
SMS
SSTR1
SSTR2
SV2A
TH
TLR2
TLR4
TNFRSF8
TNFSF11
TPK1
TRHR
TUBA1A
TUBB1
TYMS
VAMP2
VEGFA
VWF
