ACAA1
ACE
ADORA2A
ADRA1A
ADRB1
ADRB2
AGTR1
ATP1A1
AVPR1A
AVPR2
CACNA1C
CHRNA10
DRD5
EDNRA
GRIN1
GUCY1A2
HBA1
HMGCR
HTR1A
KCNH2
MAOB
NDUFV3
NPR1
PDE3A
PPARA
PROC
PTGER2
PTGS1
REN
SCN10A
SCN5A
SCNN1A
SCNN1G
SLC12A1
SLC12A3
SLC18A2
SLC6A2
TH
