x
ABCC9
ACHE
ADORA2A
ADRA1A
ADRA2A
ADRA2B
ADRB1
ADRB2
AGTR1
AKR1C2
ALAD
ALPG
ANXA3
AR
AVPR1A
AVPR2
CACNA1C
CALCR
CASR
CCKAR
CCKBR
CD19
CFTR
CHRM1
CHRM2
CHRM3
CHRNA10
CHRNA2
CHRNA3
CHRNA4
CLCN2
CNR1
CNR2
CSF2RA
CSF3R
CYP11B1
DGAT2
DRD1
DRD2
DRD3
DRD5
EPOR
ESR1
F10
F11
F3
F5
F7
F9
FCER1G
FGF1
FSHR
GABBR1
GABRA1
GABRA2
GABRB2
GABRB3
GCGR
GGCX
GHR
GHRHR
GLP1R
GLP2R
GLRA3
GNRHR
GSS
GUCY1A2
GUCY2C
HBA1
HBB
HCAR3
HRH1
HRH2
HTR1A
HTR1B
HTR1D
HTR4
IFNAR1
IFNAR2
IGF1R
IKBKB
IL11RA
IL2RB
INSR
KCNJ1
KCNJ11
KIT
LEPR
LHCGR
MC2R
MPL
MTNR1A
MTOR
MTR
NDUFV3
NPR1
NR1H4
NR3C1
NR3C2
OPRD1
OPRK1
OPRM1
OXTR
P2RY12
PAH
PGR
PLG
PPARA
PPARD
PPARG
PRKAA1
PRKAB1
PTGER1
PTGER2
PTGER3
PTGFR
PTGIR
RARA
RARG
RPE65
RXRA
RXRB
S1PR1
SCTR
SERPINC1
SERPIND1
SIGMAR1
SLC12A1
SLC18A2
SLC6A2
SSTR1
SSTR2
SV2A
THRA
TLR7
TNFRSF1A
TNNC1
TRPM8
TRPV1
TSHR
TSPO
TTR
VDR
