ABCC8
ADRA1A
AKR1C2
AR
ATP4A
CACNA1S
CALCR
CHRM1
CHRM2
CHRM3
CNR1
CNR2
DPP4
DRD2
GLP1R
GLP2R
HRH2
HTR1A
HTR3A
HTR4
INSR
KCNJ11
MGAM
NR1H4
NR3C1
OPRD1
OPRM1
PDGFRB
PPARG
RFK
S1PR1
SLC5A2
SLC6A2
SLC6A4
TACR1
TPK1
TPMT
VDR
