ABL1
AR
C5
CACNA1I
CD2
CDK4
CSF3R
CTLA4
CXCR4
CYP19A1
DNMT1
EGFR
ERBB2
ESR1
FLT1
GNRHR
HDAC1
HPRT1
IFNAR1
IFNAR2
IKBKB
IL11RA
IL17A
IL1B
IL6
IMPDH1
ITGAL
KDR
KIT
MR1
MTOR
PDE4D
POLB
PSMB5
PTGS2
RRM1
TLR4
TNF
TNFRSF1A
TNFRSF8
TNFSF13B
TOP1
TUBB
TUBB1
VEGFA
