ACTN1
ADRA1A
ADRB2
AR
AVPR2
CASR
CHRM1
CHRM3
DRD1
ESR1
FSHR
GCGR
GHR
HTR1A
LHCGR
NR3C1
OXTR
PDE4B
PDE5A
PGR
SCN1A
TPO
TSHR
VDR
