ABCB7
ACADL
ACE
ACTB
ACVR1
ACVRL1
ADAM17
ADAMTS9
ADAR
AFF1
AIFM1
AKAP9
ALDH1A2
ALKBH1
APAF1
APC
APEX1
AQP11
ARFGEF2
ARHGAP35
ARID5B
ARPC3
ASCL2
ATF2
ATMIN
ATOH1
ATP7A
AURKB
AXIN1
AXIN2
B4GAT1
BCL11B
BMP2
BMP4
BMP5
BMPR2
BPTF
BRAF
BRD4
BTAF1
BUB1
BUB1B
C1GALT1C1
C2CD3
CACNA1A
CACNA1C
CARM1
CBFB
CBL
CD274
CDH1
CDK1
CDKN1C
CDX2
CECR2
CENPA
CHD2
CHD7
CHM
CIAO3
CITED1
CITED2
CLEC1B
CNBP
COL1A1
COL2A1
COL4A1
COPS3
CREBBP
CTCF
CTNNB1
CTTN
CUL3
CUL4B
DAD1
DDX11
DDX3X
DEAF1
DHCR7
DIDO1
DLK1
DLL1
DLL4
DLX5
DNAJC6
DND1
DNMT1
DNMT3B
DPH1
DPP9
DSG2
DUSP6
DUSP9
DYNC2H1
DYRK1A
EBP
EDNRA
EEF1E1
EGFR
EIF3M
EMX2
EN1
ENHO
EP300
EPB41L5
ERBB2
ETS2
ETV6
F3
FAM20A
FANCL
FASN
FBL
FBXO11
FES
FGF19
FGF8
FGF9
FGFR1
FGFR2
FGFR3
FLNA
FLT4
FOXA2
FOXF1
FOXI1
FSHR
G6PD
GAB1
GABRA1
GAPDH
GARS
GATA1
GATA4
GATA6
GBX2
GDNF
GJA1
GJB2
GLI2
GLI3
GLUL
GNAO1
GNAS
GRB10
GRB2
GRHL2
GRHL3
GRIA2
GRIN1
GSK3B
GTF2I
GTF2IRD1
H3F3B
HAND1
HAND2
HAP1
HBEGF
HDAC1
HDAC8
HECTD1
HHEX
HIC2
HIF1A
HOXA13
HOXA3
HP1BP3
HTT
IFT88
IGF2
IGF2R
IKBKG
IKZF1
INS
IRF6
ISL2
ITGB1
JAG1
JAK2
JUN
KAT2A
KDM1A
KIT
KITLG
KLF1
KLF3
KMT2A
KMT2B
KRAS
KRT14
LATS2
LETM1
LGR4
LMO4
LMX1B
LNPK
LRP6
MAGEL2
MAGOH
MAP3K8
MAPK1
MB
MBTPS1
MCM4
MCOLN3
MDM2
MECOM
MECP2
MED30
MEST
MET
MN1
MSX1
MYB
MYCN
MYH9
MYL2
MYOG
NCAM1
NCOA6
NDN
NELL1
NEUROD1
NF1
NFIB
NIPBL
NKX6-1
NLK
NLRP3
NMT1
NODAL
NOS3
NOTCH1
NPM1
NR1D2
NR2F2
NR4A3
NR5A2
NSDHL
OCA2
OTX2
PADI4
PAFAH1B1
PAX2
PAX3
PAX6
PAX9
PBX1
PDGFB
PDGFRA
PDGFRB
PDLIM7
PDPK1
PDX1
PEG10
PEG3
PFN1
PGM3
PHACTR4
PHB2
PHOX2B
PIFO
PIGA
PINX1
PITX2
PKD1
PLA2G3
PLAGL1
PLK4
PMM2
PMP22
PNN
POFUT2
POR
PORCN
POU4F1
PRDM1
PROS1
PROX1
PRRX1
PRSS8
PSEN1
PSIP1
PTCH1
PTEN
PTPN11
PTPRJ
QKI
RAB18
RAB7A
RAD50
RAD9B
RB1
RERE
RICTOR
RLIM
ROCK1
RPL24
RPL27A
RPL38
RPS7
RTL1
RUNX1
RXRA
RYBP
SAFB
SALL1
SALL4
SATB2
SCN4A
SCN5A
SCN8A
SCX
SEPT9
SERPINA1
SERPINC1
SFN
SHANK2
SHC1
SHH
SHOX2
SHROOM3
SIRT1
SKI
SLC20A1
SLC23A1
SLC2A3
SLC31A1
SLC39A4
SMAD1
SMAD2
SMAD4
SMARCA4
SMARCC1
SMC3
SMCHD1
SMN1
SMN2
SNRPN
SOCS3
SOX10
SOX18
SOX2
SOX4
SOX9
SPRTN
SREBF2
SS18
STAT3
SUMO1
SUPV3L1
SUZ12
TAB1
TAB2
TACC3
TBC1D32
TBP
TBX1
TBX18
TBX3
TBX5
TBXT
TCF3
TCOF1
TDGF1
TEAD2
TFAP2A
TGFB1
TGIF1
THOC1
TNKS2
TP53
TP63
TRIM28
TSC1
TSHZ1
TSTA3
TTN
TULP3
TWIST1
TYR
VAC14
VANGL2
VCP
VEGFA
VEZF1
VSX2
WDR1
WDR19
WT1
YBX1
YY1
ZFHX3
ZFP42
ZFPM2
ZFX
ZIC1
ZIC3
ZIC4
ZMIZ1
ZNF830
