ACTN1
C1R
CALCR
CD19
CD2
CSF3R
F10
F11
F2
F5
F7
FGFR2
FSHR
GCGR
GHR
GHRHR
GLP1R
GLP2R
IFNAR1
IFNAR2
IL11RA
INSR
KIT
KLKB1
LHCGR
MC2R
PDGFRB
PLG
PTH1R
SCTR
TLR2
TNFRSF1A
TSHR
VEGFA
VWF
