ensg	n1tpm	medtpm
ENSG00000264101	0	0
ENSG00000131697	53	6.2825
ENSG00000266687	0	0
ENSG00000069424	53	7.478
ENSG00000116254	22	0.5736
ENSG00000116251	53	159.7
ENSG00000226944	27	1.005
ENSG00000158286	52	9.471
ENSG00000116237	53	32.34
ENSG00000225077	1	0.044055
ENSG00000173673	0	0
ENSG00000158292	52	9.453
ENSG00000097021	53	16.14
ENSG00000069812	9	0.0287
ENSG00000187017	21	0.4737
ENSG00000265392	0	0
ENSG00000231868	1	0
ENSG00000215788	52	14.47
ENSG00000171680	51	12.94
ENSG00000162408	53	7.666
ENSG00000253022	0	0
ENSG00000229519	0	0.2233
ENSG00000173662	1	0.1573
ENSG00000204859	53	22.74
ENSG00000162413	53	30.03
ENSG00000116273	53	19.23
ENSG00000041988	53	13
ENSG00000007923	53	17.015
ENSG00000228750	1	0
ENSG00000239166	0	0
ENSG00000237436	2	0.3197
ENSG00000171735	53	7.8785
ENSG00000227950	0	0
ENSG00000237365	0	0
ENSG00000207056	0	0
ENSG00000237402	1	0.113
ENSG00000237728	1	0
ENSG00000225126	2	0
ENSG00000270171	14	0.1632
ENSG00000270035	13	0.518
ENSG00000269978	24	0.857
ENSG00000049245	53	73.535
ENSG00000269925	51	3.145
ENSG00000049246	52	12.99
ENSG00000236266	26	0.974
ENSG00000049247	0	0.04916
ENSG00000049249	3	0.03474
ENSG00000270330	0	0
ENSG00000116288	53	186.7
ENSG00000200344	1	0
ENSG00000116285	52	69.46
ENSG00000238290	2	0.1693
ENSG00000232848	0	0.02523
ENSG00000229305	0	0
ENSG00000200975	0	0
ENSG00000227634	0	0
ENSG00000233645	0	0
ENSG00000265414	0	0
ENSG00000251977	0	0
ENSG00000162426	49	7.408
ENSG00000252254	0	0
ENSG00000142599	53	47.24
ENSG00000232912	28	1.035
ENSG00000221083	0	0
ENSG00000270282	0	0
ENSG00000234619	0	0.053225
ENSG00000224315	0	0.05003
ENSG00000222511	0	0
ENSG00000226545	0	0
ENSG00000228423	0	0
ENSG00000229716	0	0
ENSG00000074800	53	530.2
ENSG00000236269	1	0.21715
ENSG00000230679	10	0.4097
ENSG00000201725	0	0
ENSG00000238249	0	0.05362
ENSG00000232208	0	0
ENSG00000232663	0	0
ENSG00000131686	2	0
ENSG00000265141	0	0
ENSG00000197241	0	0
ENSG00000142583	41	2.096
ENSG00000252404	0	0
ENSG00000180758	39	4.0925
ENSG00000207865	0	0
ENSG00000228526	9	0.3018
ENSG00000234546	28	1.047
ENSG00000049239	53	30.28
ENSG00000252841	0	0
ENSG00000171621	52	21.56
ENSG00000252956	0	0
ENSG00000235263	1	0
ENSG00000171612	53	5.5315
ENSG00000231181	7	0.5353
ENSG00000188807	52	5.6955
ENSG00000171608	52	7.485
ENSG00000179840	3	0.01208
ENSG00000233268	0	0
ENSG00000231789	30	1.202
ENSG00000171603	53	84.72
ENSG00000271264	0	0
ENSG00000178585	53	19.735
ENSG00000162441	53	13.19
ENSG00000228150	1	0.3596
ENSG00000173614	53	4.37
ENSG00000202415	1	0.21485
ENSG00000265521	0	0
ENSG00000162444	51	13.48
ENSG00000225786	0	0
ENSG00000130939	53	21.34
ENSG00000224340	0	0
ENSG00000233623	0	0.017675
ENSG00000201746	0	0
ENSG00000054523	53	14.29
ENSG00000264881	0	0
ENSG00000199562	0	0
ENSG00000265945	6	0.3996
ENSG00000142657	53	49.84
ENSG00000271989	1	0
ENSG00000175279	52	9.7515
ENSG00000241563	44	1.5585
ENSG00000160049	53	13.28
ENSG00000142655	53	24
ENSG00000243267	0	0.1586
ENSG00000130940	39	5.42
ENSG00000272078	24	0.8329
ENSG00000225158	0	0
ENSG00000175262	5	0.14545
ENSG00000215785	1	0.064755
ENSG00000264181	0	0
ENSG00000207213	0	0
ENSG00000120948	53	87.52
ENSG00000009724	51	3.82
ENSG00000271895	53	23.06
ENSG00000116649	53	62.23
ENSG00000171824	53	47.52
ENSG00000226849	52	3.274
ENSG00000230337	19	0.5932
