drug	type	atc
acetaminophen	small molecule	N02BE01
clemastine	small molecule	D04AA14
azilsartan medoxomil	small molecule	C09CA09
mechlorethamine	small molecule	L01AA05
cannabidiol	small molecule	
dipivefrin	small molecule	S01EA02
lodoxamide	small molecule	S01GX05
oxyphenbutazone	small molecule	S01BC02
nonoxynol-9	small molecule	
dolichovespula maculata venom protein	biotech	
cephaloglycin	small molecule	
epicriptine	small molecule	
clenbuterol	small molecule	R03AC14
disulfiram	small molecule	P03AA54
belatacept	biotech	L04AA28
bacampicillin	small molecule	J01CR50
bluefish	biotech	
phenolphthalein	small molecule	A06AB04
ibudilast	small molecule	R03DC04
potato	biotech	
darunavir	small molecule	J05AR14
mitoxantrone	small molecule	L01DB07
stanozolol	small molecule	A14AA02
nitrendipine	small molecule	C08CA08
clotiazepam	small molecule	N05BA21
clofibrate	small molecule	C10AB01
von willebrand factor human	biotech	B02BD06
hydroxystilbamidine isethionate	small molecule	
remestemcel-l	biotech	
mesoridazine	small molecule	N05AC03
liothyronine	small molecule	H03AA02
biotin	small molecule	A11HA05
cilazapril	small molecule	C09BA08
pentostatin	small molecule	L01XX08
sus scrofa skin	biotech	
didanosine	small molecule	J05AF02
rattus norvegicus skin	biotech	
tamoxifen	small molecule	L02BA01
halcinonide	small molecule	D07AD02
sodium lauryl sulfate	small molecule	
tartaric acid	small molecule	
lubiprostone	small molecule	A06AX03
diflorasone	small molecule	D07AC10
dl-methylephedrine	small molecule	
modafinil	small molecule	N06BA07
edrophonium	small molecule	
azidocillin	small molecule	J01CR50
pancrelipase	biotech	A09AA02
pegvisomant	biotech	H01AX01
varenicline	small molecule	N07BA03
grape	biotech	
tranylcypromine	small molecule	N06AF04
indecainide	small molecule	
octisalate	small molecule	
bronopol	small molecule	
insulin glargine	biotech	A10AE04
trifluridine	small molecule	S01AD02
aspergillus repens	biotech	
natural alpha interferon	biotech	
denosumab	biotech	M05BX04
hydrogen fluoride	small molecule	
obiltoxaximab	biotech	
bisacodyl	small molecule	A06AB02
tenofovir alafenamide	small molecule	J05AR18
racemethionine	small molecule	
trichoderma harzianum	biotech	
human papillomavirus type 52 l1 capsid protein antigen	biotech	
suaeda moquinii pollen	biotech	
ifosfamide	small molecule	L01AA06
alpha-phosphoribosylpyrophosphoric acid	small molecule	
nalbuphine	small molecule	N02AF02
fraxinus latifolia pollen	biotech	
salmonella typhi ty2 vi polysaccharide antigen	biotech	
cholecalciferol	small molecule	M05BB08
potassium perchlorate	small molecule	H03BC01
buserelin	biotech	L02AE01
riluzole	small molecule	N07XX02
acetohexamide	small molecule	A10BB31
icosapent ethyl	small molecule	
celtis occidentalis pollen	biotech	
flavoxate	small molecule	G04BD02
dextropropoxyphene	small molecule	N02AC54
nalmefene	small molecule	N07BB05
gadoversetamide	small molecule	V08CA06
dalbavancin	small molecule	J01XA04
tofisopam	small molecule	N05BA23
valbenazine	small molecule	
pea	biotech	
morella cerifera pollen	biotech	
lutetium lu 177 dotatate	small molecule	
benzoctamine	small molecule	N05BD01
filgrastim	biotech	L03AA02
moclobemide	small molecule	N06AG02
alnus rubra pollen	biotech	
pegaspargase	biotech	L01XX24
pork	biotech	
fluoxymesterone	small molecule	G03BA01
brigatinib	small molecule	
methyprylon	small molecule	N05CE02
aluminum sesquichlorohydrate	small molecule	
diphenidol	small molecule	
finafloxacin	small molecule	
peginterferon alfa-2a	biotech	L03AB61
peginterferon alfa-2b	biotech	L03AB60
carboprost tromethamine	small molecule	G02AD04
indocyanine green acid form	small molecule	
capmatinib	small molecule	
acemetacin	small molecule	M01AB11
stearic acid	small molecule	
hetacillin	small molecule	J01CA18
metocurine iodide	small molecule	
ceritinib	small molecule	L01XE28
diclofenamide	small molecule	S01EC02
amaranthus spinosus pollen	biotech	
menthol	small molecule	
metocurine	small molecule	
anidulafungin	small molecule	J02AX06
ancrod	biotech	B01AD09
colloidal oatmeal	biotech	
evernia prunastri	biotech	
polistes exclamans venom protein	biotech	
haemophilus influenzae type b strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen	biotech	
iothalamic acid	small molecule	V08AA04
corn	biotech	
anas platyrhynchos feather	biotech	
fenbufen	small molecule	M01AE05
streptococcus pneumoniae type 12f capsular polysaccharide antigen	biotech	
resorcinol	small molecule	S01AX06
ethinamate	small molecule	
leflunomide	small molecule	L04AA13
invert sugar	small molecule	C05BB03
nitroprusside	small molecule	C02DD01
streptococcus pneumoniae type 18c capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
water	small molecule	
methacholine	small molecule	
topiramate	small molecule	N03AX11
peanut oil	small molecule	
attapulgite	small molecule	A07BC54
pyrethrum extract	small molecule	
methoxyflurane	small molecule	N02BG09
triclosan	small molecule	D08AE04
juniperus californica pollen	biotech	
salix lasiolepis pollen	biotech	
drotaverine	small molecule	A03AD02
sinecatechins	small molecule	D06BB12
avibactam	small molecule	
levomilnacipran	small molecule	
ethionamide	small molecule	J04AD03
cinnamon	biotech	
tranexamic acid	small molecule	B02AA02
salmeterol	small molecule	R03AK06
loteprednol	small molecule	S01BA14
sea salt	small molecule	
ivermectin	small molecule	P02CF01
d-serine	small molecule	
streptomyces griseus	biotech	
brodalumab	biotech	L04AC12
radish	biotech	
alglucerase	biotech	A16AB01
tibolone	small molecule	G03CX01
dichloralphenazone	small molecule	N05CC04
hexylresorcinol	small molecule	R02AA12
gadoteric acid	small molecule	V08CA02
nilvadipine	small molecule	C08CA10
vigabatrin	small molecule	N03AG04
lercanidipine	small molecule	C09DB08
ipecac	small molecule	V03AB01
thymalfasin	biotech	
padimate o	small molecule	
tenecteplase	biotech	B01AD11
terizidone	small molecule	J04AK03
iloprost	small molecule	B01AC11
calcium carbimide	small molecule	N07BB02
glycerol phenylbutyrate	small molecule	A16AX09
cavia porcellus hair	biotech	
methacycline	small molecule	J01AA20
elymus repens pollen	biotech	
pregabalin	small molecule	N03AX16
metixene	small molecule	N04AA03
carbenicillin	small molecule	J01CR50
anastrozole	small molecule	L02BG03
amaranthus palmeri pollen	biotech	
choriogonadotropin alfa	biotech	G03GA08
parecoxib	small molecule	M01AH04
acer rubrum pollen	biotech	
omega-3-carboxylic acids	small molecule	
xanthinol	small molecule	C04AD02
tea leaf	biotech	
aprobarbital	small molecule	N05CA05
sulfur	small molecule	D10AB02
pegfilgrastim	biotech	L03AA13
poractant alfa	biotech	
esketamine	small molecule	N01AX14
spearmint	biotech	
pyruvic acid	small molecule	
estrone sulfate	small molecule	
bendamustine	small molecule	L01AA09
cefazolin	small molecule	J01DB04
oftasceine	small molecule	
pitolisant	small molecule	N07XX11
pheneticillin	small molecule	J01CE05
fludarabine	small molecule	L01BB05
gaxilose	small molecule	
avelumab	biotech	
arzoxifene	small molecule	
silver sulfadiazine	small molecule	D06BA51
aripiprazole	small molecule	N05AX12
gadobenic acid	small molecule	V08CA08
pinacidil	small molecule	C02DG01
metoprolol	small molecule	C07BB02
plum	biotech	
potassium carbonate	small molecule	
lormetazepam	small molecule	N05CD06
iodine	small molecule	D08AG03
eucalyptus oil	small molecule	
alirocumab	biotech	
manganese gluconate	small molecule	
protionamide	small molecule	J04AD01
procaine benzylpenicillin	small molecule	J01CR50
binimetinib	small molecule	
atorvastatin	small molecule	C10AA05
ardeparin	small molecule	
cyclachaena xanthifolia pollen	biotech	
fulvestrant	small molecule	L02BA03
dantrolene	small molecule	M03CA01
crofelemer	small molecule	
fluticasone	small molecule	R03AK11
warfarin	small molecule	B01AA03
sodium chloride	small molecule	B05CB01
norflurane	small molecule	
streptococcus pneumoniae type 4 capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
labetalol	small molecule	C07BG01
rotigotine	small molecule	N04BC09
papain	small molecule	
oxaliplatin	small molecule	L01XA03
thiabendazole	small molecule	D01AC06
spiramycin	small molecule	J01FA02
amylmetacresol	small molecule	
emtricitabine	small molecule	J05AR18
ctenocephalides canis	biotech	
gelatin	small molecule	
monopotassium phosphate	small molecule	
english sole	biotech	
toremifene	small molecule	L02BA02
date	biotech	
iodixanol	small molecule	V08AB09
rasagiline	small molecule	N04BD02
technetium tc-99m pyrophosphate	small molecule	V09BA03
neisseria meningitidis group c capsular polysaccharide antigen	biotech	
topiroxostat	small molecule	
technetium tc-99m sulfur colloid	small molecule	V09DB05
ceftaroline fosamil	small molecule	J01DI02
vanadium	small molecule	
isavuconazole	small molecule	J02AC05
pyrophosphoric acid	small molecule	
minaprine	small molecule	N06AX07
mango	biotech	
eslicarbazepine acetate	small molecule	N03AF04
talc	small molecule	
perphenazine	small molecule	N05AB03
technetium tc-99m mebrofenin	small molecule	V09DA04
halazepam	small molecule	N05BA13
estradiol benzoate	small molecule	
d-methionine	small molecule	
terlipressin	small molecule	H01BA04
vancomycin	small molecule	A07AA09
aluminum hydroxide	small molecule	A02AD03
mianserin	small molecule	N06AX03
testosterone propionate	small molecule	
taxodium distichum pollen	biotech	
troleandomycin	small molecule	J01FA08
nandrolone decanoate	small molecule	
chickpea	biotech	
mesalazine	small molecule	A07EC02
diosmin	small molecule	C05CA03
dipyridamole	small molecule	B01AC07
salmonella typhi ty21a live antigen	biotech	
poa annua pollen	biotech	
ephedra	small molecule	
simoctocog alfa	biotech	
dicoria canescens pollen	biotech	
sonidegib	small molecule	L01XX48
lanthanum carbonate	small molecule	V03AE03
midazolam	small molecule	N05CD08
iodide i-123	small molecule	V09FX02
oxaprozin	small molecule	M01AE12
pindolol	small molecule	C07AA03
pyridoxine	small molecule	A11HA02
fostamatinib	small molecule	
bezafibrate	small molecule	C10AB02
magnesium glycinate	small molecule	
artemisia ludoviciana pollen	biotech	
basiliximab	biotech	L04AC02
avocado	biotech	
artemisia dracunculus pollen	biotech	
polyethylene glycol 400	small molecule	
quinupristin	small molecule	
sargramostim	biotech	L03AA09
fluciclovine (18f)	small molecule	
metrizoic acid	small molecule	V08AA02
teniposide	small molecule	L01CB02
polistes fuscatus venom protein	biotech	
antithrombin alfa	biotech	
ezetimibe	small molecule	C10BA02
epoprostenol	small molecule	B01AC09
edetic acid	small molecule	
carbon monoxide	small molecule	
chromium picolinate	small molecule	
butabarbital	small molecule	
nitisinone	small molecule	A16AX04
raltitrexed	small molecule	L01BA03
betrixaban	small molecule	
abatacept	biotech	L04AA24
ranitidine	small molecule	A02BA07
norfloxacin	small molecule	S01AE02
granisetron	small molecule	A04AA02
ceftizoxime	small molecule	J01DD07
hydroxyethyl starch	small molecule	B05AA07
pyridoxal	small molecule	
butoconazole	small molecule	G01AF15
anakinra	biotech	L04AC03
ethylhexyl methoxycrylene	small molecule	
isoaminile	small molecule	R05DB04
baclofen	small molecule	M03BX01
prasugrel	small molecule	B01AC22
dotatate gallium ga-68	small molecule	
talniflumate	small molecule	
furosemide	small molecule	C03EB01
ruxolitinib	small molecule	L01XE18
populus deltoides pollen	biotech	
acitretin	small molecule	D05BB02
ustilago cynodontis	biotech	
phentermine	small molecule	A08AA01
methotrexate	small molecule	L04AX03
tositumomab	biotech	V10XA53
doxazosin	small molecule	C02CA04
ribavirin	small molecule	J05AB04
phenprocoumon	small molecule	B01AA04
omega-3 fatty acids	small molecule	
melperone	small molecule	N05AD03
teriparatide	biotech	H05AA02
sitagliptin	small molecule	A10BH51
pravastatin	small molecule	C10AA03
olodaterol	small molecule	R03AL06
selenomethionine	small molecule	
asenapine	small molecule	N05AH05
salicylamide	small molecule	N02BA75
juniperus scopulorum pollen	biotech	
nutmeg	biotech	
pantothenic acid	small molecule	D03AX04
benidipine	small molecule	C08CA15
cyclandelate	small molecule	C04AX01
phoma destructiva	biotech	
remifentanil	small molecule	N01AH06
indacaterol	small molecule	R03AL04
methyldopa	small molecule	
botrytis cinerea	biotech	
meradimate	small molecule	
human papillomavirus type 16 l1 capsid protein antigen	biotech	
rifapentine	small molecule	J04AB05
proflavine	small molecule	
adalimumab	biotech	L04AB04
tirofiban	small molecule	B01AC17
rhizopus arrhizus var. arrhizus	biotech	
nafarelin	small molecule	H01CA02
loratadine	small molecule	R06AX13
methyl salicylate	small molecule	
l-lysine	small molecule	B05XB03
metolazone	small molecule	C03BA08
carbazochrome	small molecule	B02BX02
pentosan polysulfate	small molecule	C05BA04
sofosbuvir	small molecule	J05AX15
wheat bran	biotech	
cranberry	biotech	
valproic acid	small molecule	N03AG01
cetrorelix	small molecule	H01CC02
oxandrolone	small molecule	A14AA08
almasilate	small molecule	A02AD05
difenoxin	small molecule	A07DA04
desoxycorticosterone acetate	small molecule	
dipyrithione	small molecule	
alnus incana subsp. rugosa pollen	biotech	
sulfamerazine	small molecule	J01EE07
quinidine barbiturate	small molecule	
sulfameter	small molecule	J01ED04
pancrelipase lipase	biotech	
lime (citrus)	biotech	
besifloxacin	small molecule	S01AE08
gadodiamide	small molecule	V08CA03
sodium sulfide	small molecule	
eliglustat	small molecule	A16AX10
rspsma vaccine	biotech	
sesame seed	biotech	
l-carnitine	small molecule	A16AA01
oryctolagus cuniculus skin	biotech	
dasabuvir	small molecule	J05AX66
piperonyl butoxide	small molecule	
atriplex polycarpa pollen	biotech	
bromfenac	small molecule	S01BC11
meprobamate	small molecule	N05BC51
gestrinone	small molecule	G03XA02
avatrombopag	small molecule	
esomeprazole	small molecule	M01AE52
pentastarch	small molecule	
oxybenzone	small molecule	
magnesium silicate	small molecule	A02AA05
ceramide 3	small molecule	
etafedrine	small molecule	
calcidiol	small molecule	A11CC06
fexofenadine	small molecule	R06AX26
benfotiamine	small molecule	A11DA03
bismuth subsalicylate	small molecule	
oxiconazole	small molecule	D01AC11
ritonavir	small molecule	J05AR10
axitinib	small molecule	L01XE17
tolevamer	small molecule	V03AE01
paramethasone	small molecule	H02AB05
formaldehyde	small molecule	
propericiazine	small molecule	N05AC01
sinapultide	small molecule	
fusafungine	small molecule	R02AB03
mucor racemosus	biotech	
cynodon dactylon pollen	biotech	
rosin	small molecule	
gadoxetic acid	small molecule	V08CA10
silodosin	small molecule	G04CA04
domiphen	small molecule	A01AB06
laurus nobilis	biotech	
dibotermin alfa	biotech	M05BC01
betiatide	small molecule	
ambrisentan	small molecule	C02KX02
nitazoxanide	small molecule	P01AX11
mecamylamine	small molecule	C02BB01
magnesium	small molecule	A12CC07
rivaroxaban	small molecule	B01AF01
bioallethrin	small molecule	P03AC02
daratumumab	biotech	
streptococcus pneumoniae type 4 capsular polysaccharide antigen	biotech	
cortisone acetate	small molecule	H02AB10
nifedipine	small molecule	C08CA05
coconut	biotech	
alpha-tocopherol succinate	small molecule	
acer saccharinum pollen	biotech	
iva axillaris pollen	biotech	
flumazenil	small molecule	V03AB25
ferric pyrophosphate citrate	small molecule	
microsporum canis	biotech	
megestrol acetate	small molecule	L02AB01
sorghum bicolor subsp. bicolor pollen	biotech	
terbutaline	small molecule	R03CC53
clocortolone	small molecule	D07AB21
pregnenolone	small molecule	
irbesartan	small molecule	C09DB05
sulfadoxine	small molecule	G01AE10
ustekinumab	biotech	L04AC05
vedolizumab	biotech	L04AA33
ammonium molybdate	small molecule	
isoniazid	small molecule	J04AM04
ammonium chloride	small molecule	B05XA04
inositol nicotinate	small molecule	C04AC03
sodium sulfate	small molecule	A12CA02
levofloxacin	small molecule	J01RA05
dichlorobenzene	small molecule	
ethambutol	small molecule	J04AM06
ctenocephalides felis	biotech	
incadronic acid	small molecule	
butalbital	small molecule	
amantadine	small molecule	N04BB01
fusarium compactum	biotech	
undecylenate	small molecule	D01AE54
dicloxacillin	small molecule	J01CR50
brassica rapa pollen	biotech	
stavudine	small molecule	J05AF04
glycopyrronium	small molecule	R03AL04
hydroxyproline	small molecule	
moricizine	small molecule	C01BG01
iopanoic acid	small molecule	V08AC06
povidone	small molecule	
polyethylene glycol	small molecule	A06AD15
lesinurad	small molecule	M04AB05
ferric carboxymaltose	small molecule	
odocoileus virginianus hair	biotech	
trastuzumab emtansine	biotech	L01XC14
ozenoxacin	small molecule	
pascopyrum smithii pollen	biotech	
thalidomide	small molecule	L04AX02
lacosamide	small molecule	N03AX18
dolichovespula arenaria venom protein	biotech	
phycomyces blakesleeanus	biotech	
serinus canaria feather	biotech	
human serum albumin	biotech	V08DA01
poliglusam	small molecule	
perch	biotech	
diethyltoluamide	small molecule	P03BX01
phenformin	small molecule	A10BA01
pipazethate	small molecule	R05DB11
ginseng	small molecule	
stemphylium solani	biotech	
technetium tc-99m exametazime	small molecule	V09AA01
tizanidine	small molecule	M03BX02
sesame oil	small molecule	
albendazole	small molecule	P02CA03
anser anser feather	biotech	
bezlotoxumab	biotech	
migalastat	small molecule	
wine grape	biotech	
pentazocine	small molecule	N02AD01
meningococcal group a polysaccharide	biotech	
polysilicone-15	small molecule	
miglustat	small molecule	A16AX06
vespula squamosa venom protein	biotech	
nectarine	biotech	
trimethoprim	small molecule	J01EE01
cumin	biotech	
riociguat	small molecule	C02KX05
neisseria meningitidis group c capsular polysaccharide diphtheria toxoid conjugate antigen	biotech	
bromperidol	small molecule	N05AD06
phenyl salicylate	small molecule	G04BX12
isopropamide	small molecule	A03CA01
crotalus adamanteus antivenin	biotech	
methionine	small molecule	V03AB26
delavirdine	small molecule	J05AG02
nylidrin	small molecule	G02CA02
flavin adenine dinucleotide	small molecule	
pumpkin	biotech	
telbivudine	small molecule	J05AF11
carboxymethylcellulose	small molecule	
levmetamfetamine	small molecule	
sevelamer	small molecule	V03AE02
nepafenac	small molecule	S01BC10
petrolatum	small molecule	
coal tar	small molecule	
clavulanate	small molecule	
patent blue	small molecule	
bromocriptine	small molecule	G02CB01
sitaxentan	small molecule	C02KX03
pivampicillin	small molecule	J01CR50
sporotrichum pruinosum	biotech	
corticotropin	biotech	H01AA01
glutathione	small molecule	V03AB32
clotrimazole	small molecule	D01AC01
suramin	small molecule	P01CX02
rilonacept	biotech	L04AC04
atomoxetine	small molecule	N06BA09
cinoxacin	small molecule	J01MB06
nateglinide	small molecule	A10BX03
rhizopus stolonifer	biotech	
erythromycin	small molecule	D10AF52
magnesium aluminum silicate	small molecule	
lopinavir	small molecule	J05AR10
pasireotide	small molecule	H01CB05
isavuconazonium	small molecule	
salix nigra pollen	biotech	
sodium glycerophosphate	small molecule	B05XA14
idebenone	small molecule	N06BX13
trapidil	small molecule	C01DX11
blue crab	biotech	
maclura pomifera pollen	biotech	
voxilaprevir	small molecule	
fluocortolone	small molecule	D07BC03
isosorbide	small molecule	
bisoxatin	small molecule	A06AB09
naphazoline	small molecule	R01AB02
chloropyramine	small molecule	D04AA09
thonzylamine	small molecule	R01AC06
pralatrexate	small molecule	L01BA05
bacillus calmette-guerin substrain connaught live antigen	biotech	
sour cherry	biotech	
glipizide	small molecule	A10BB07
afatinib	small molecule	L01XE13
practolol	small molecule	C07AB01
acrothecium robustum	biotech	
ulobetasol	small molecule	D07AC21
cantharidin	small molecule	
lutetium lu-177	small molecule	
streptococcus pneumoniae type 14 capsular polysaccharide antigen	biotech	
dalfopristin	small molecule	
alectinib	small molecule	
poliovirus type 3 antigen (formaldehyde inactivated)	biotech	
sibutramine	small molecule	A08AA10
cantaloupe	biotech	
dextran	small molecule	B05AA05
l-aspartic acid	small molecule	
periplaneta americana	biotech	
cephalexin	small molecule	J01DB01
ragweed pollen extract	biotech	
leuprolide	biotech	L02AE02
carboplatin	small molecule	L01XA02
iodipamide	small molecule	V08AC04
difluprednate	small molecule	D07AC19
sweet cherry	biotech	
venlafaxine	small molecule	N06AX16
pemetrexed	small molecule	R03DA20
tolfenamic acid	small molecule	M01AG02
mepolizumab	biotech	L04AC06
cryptenamine	small molecule	
acetohydroxamic acid	small molecule	G04BX03
dermatophagoides pteronyssinus	biotech	V01AA03
levorphanol	small molecule	
magnesium gluconate	small molecule	A12CC03
biguanide	small molecule	
dofetilide	small molecule	C01BD04
vilazodone	small molecule	N06AX24
misoprostol	small molecule	G02AD06
reboxetine	small molecule	N06AX18
acacia longifolia pollen	biotech	
dapsone	small molecule	D10AX05
quercus alba pollen	biotech	
glycine betaine	small molecule	A09AB02
alclofenac	small molecule	M01AB06
masoprocol	small molecule	L01XX10
alfuzosin	small molecule	G04CA51
mepenzolate	small molecule	A03AB12
aminolevulinic acid	small molecule	L01XD04
sarcobatus vermiculatus pollen	biotech	
ioxaglic acid	small molecule	V08AB03
propanoic acid	small molecule	
desogestrel	small molecule	G03AC09
muromonab	biotech	L04AA02
cinolazepam	small molecule	N05CD13
brussels sprout	biotech	
benzocaine	small molecule	R02AD01
iodide i-131	small molecule	V10XA01
amaranthus retroflexus pollen	biotech	
turkey	biotech	
epoetin delta	biotech	
frovatriptan	small molecule	N02CC07
antithrombin iii human	biotech	B01AB02
haloprogin	small molecule	D01AE11
bevacizumab	biotech	L01XC07
paritaprevir	small molecule	J05AX67
flecainide	small molecule	C01BC04
estrogens, esterified	small molecule	
sodium monofluorophosphate	small molecule	A12CD02
aminoglutethimide	small molecule	L02BG01
vecuronium	small molecule	M03AC03
desoximetasone	small molecule	D07XC02
sulfabenzamide	small molecule	
rotavirus vaccine	biotech	J07BH01
pioglitazone	small molecule	A10BD12
methylnaltrexone	small molecule	A06AH01
perindopril	small molecule	C09AA04
ambenonium	small molecule	N07AA30
caspofungin	small molecule	J02AX04
iron protein succinylate	small molecule	
sertaconazole	small molecule	D01AC14
acyclovir	small molecule	D06BB03
cerulenin	small molecule	
testolactone	small molecule	
guanadrel	small molecule	
velaglucerase alfa	biotech	A16AB10
alfentanil	small molecule	N01AH02
juniperus occidentalis pollen	biotech	
pixantrone	small molecule	L01DB11
medium-chain triglycerides	small molecule	
vernakalant	small molecule	C01BG11
colfosceril palmitate	small molecule	R07AA01
sildenafil	small molecule	G04BE03
spironolactone	small molecule	C03DA01
blinatumomab	biotech	L01XC19
micafungin	small molecule	J02AX05
cultivated mushroom	biotech	
sodium fluoride	small molecule	A01AA51
steviolbioside	small molecule	
belinostat	small molecule	L01XX49
capromab pendetide	biotech	V09IB04
equine botulinum neurotoxin d immune fab2	biotech	
gastric intrinsic factor	biotech	
aluminium	small molecule	A02AB03
corcorus capsularis fiber	biotech	
dexchlorpheniramine maleate	small molecule	
asparaginase erwinia chrysanthemi	biotech	
bacitracin	small molecule	D06AX05
cytisus scoparius flowering top	biotech	
lasofoxifene	small molecule	G03XC03
cefmetazole	small molecule	J01DC09
bombyx mori fiber	biotech	
midecamycin	small molecule	J01FA03
helium	small molecule	V03AN03
miltefosine	small molecule	L01XX09
erlotinib	small molecule	L01XE03
iodine povacrylex	small molecule	
icosapent	small molecule	
quinethazone	small molecule	C03BA02
lonoctocog alfa	biotech	
niflumic acid	small molecule	M02AA17
tolazamide	small molecule	A10BB05
fludeoxyglucose f-18	small molecule	V09IX04
coenzyme m	small molecule	R05CB05
amyl nitrite	small molecule	V03AB22
dimazole	small molecule	D01AE17
melaleuca quinquenervia pollen	biotech	
infliximab	biotech	L04AB02
neratinib	small molecule	
desonide	small molecule	D07BB02
etofibrate	small molecule	C10AB09
linoleic acid	small molecule	
bifonazole	small molecule	D01AC60
isoprenaline	small molecule	R03AK02
tasosartan	small molecule	C09CA05
ropivacaine	small molecule	N01BB09
chlorothiazide	small molecule	C03AB04
allenrolfea occidentalis pollen	biotech	
glycodiazine	small molecule	A10BC01
succimer	small molecule	
hydroxychloroquine	small molecule	P01BA02
eflornithine	small molecule	D11AX16
iloperidone	small molecule	N05AX14
didecyldimethylammonium	small molecule	
calcium glubionate	small molecule	A12AA02
peach	biotech	
propoxycaine	small molecule	
tymazoline	small molecule	R01AA13
povidone-iodine	small molecule	D08AG02
cefacetrile	small molecule	J01DB10
veal	biotech	
asunaprevir	small molecule	J05AE15
streptomycin	small molecule	J01GA01
lansoprazole	small molecule	A02BC53
sulfanilamide	small molecule	J01EB06
escitalopram	small molecule	N06AB10
sulindac	small molecule	M01AB02
dosulepin	small molecule	N06AA16
cefotetan	small molecule	J01DC05
atriplex confertifolia pollen	biotech	
poliovirus type 1 antigen (formaldehyde inactivated)	biotech	
inosine pranobex	small molecule	J05AX05
etacrynic acid	small molecule	C03CC01
gemtuzumab ozogamicin	biotech	L01XC05
arsthinol	small molecule	P01AR01
haematonectria haematococca	biotech	
ferric subsulfate	small molecule	
formoterol	small molecule	R03AK11
silver	small molecule	D08AL30
estradiol cypionate	small molecule	
oryctolagus cuniculus hair	biotech	
ketamine	small molecule	N01AX03
dezocine	small molecule	N02AX03
formestane	small molecule	L02BG02
neurospora intermedia	biotech	
thiotepa	small molecule	L01AC01
polysorbate 20	small molecule	
chlorambucil	small molecule	L01AA02
neurospora sitophila	biotech	
phosphatidyl serine	small molecule	
isoflavone	small molecule	
aclidinium	small molecule	R03AL05
azatadine	small molecule	R06AX09
lipoic acid	small molecule	A16AX01
l-tryptophan	small molecule	N06AX02
tetracoccosporium paxianum	biotech	
black widow spider antivenin (equine)	biotech	
glyburide	small molecule	A10BB01
human papillomavirus type 31 l1 capsid protein antigen	biotech	
ulmus parvifolia pollen	biotech	
antihemophilic factor human	biotech	B02BD02
fluorouracil	small molecule	L01BC02
lapyrium	small molecule	
aluminum sulfate	small molecule	
somatrem	biotech	H01AC02
diphenhydramine	small molecule	D04AA33
trospium	small molecule	A03DA06
buspirone	small molecule	N05BE01
corifollitropin alfa	biotech	G03GA09
gallium nitrate	small molecule	
cefditoren	small molecule	J01DD16
thiosulfuric acid	small molecule	
potassium citrate	small molecule	A12BA02
carya cordiformis pollen	biotech	
quercus garryana pollen	biotech	
thyme	biotech	
rivastigmine	small molecule	N06DA03
nabumetone	small molecule	M01AX01
ziconotide	small molecule	N02BG08
human papillomavirus type 58 l1 capsid protein antigen	biotech	
black walnut	biotech	
oxcarbazepine	small molecule	N03AF02
leek	biotech	
streptococcus pneumoniae type 3 capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
hydroxocobalamin	small molecule	V03AB33
cystine	small molecule	
drotrecogin alfa	biotech	B01AD10
quinine	small molecule	M09AA72
aldesleukin	biotech	L03AC01
almond	biotech	
verteporfin	small molecule	S01LA01
niraparib	small molecule	
technetium tc-99m medronate	small molecule	V09BA02
collagenase clostridium histolyticum	biotech	M09AB02
choline c-11	small molecule	
pentafluoropropane	small molecule	
oxazepam	small molecule	N05BA04
nevirapine	small molecule	J05AG01
methylcobalamin	small molecule	B03BA05
eptotermin alfa	biotech	M05BC02
ibuprofen	small molecule	M02AA13
viper antivenom	biotech	
indium in-111 pentetreotide	small molecule	
nandrolone phenpropionate	small molecule	
voacamine	small molecule	
phenindamine	small molecule	R06AX04
demexiptiline	small molecule	
aluminum zirconium trichlorohydrex gly	small molecule	
aluminum zirconium octachlorohydrex gly	small molecule	
benzodiazepine	small molecule	
alizapride	small molecule	A03FA05
ocrelizumab	biotech	
valdecoxib	small molecule	M01AH03
aluminum chlorohydrex propylene glycol	small molecule	
propylthiouracil	small molecule	H03BA02
antipyrine	small molecule	N02BB51
testosterone undecanoate	small molecule	
picrate	small molecule	
ammonium lactate	small molecule	
methamphetamine	small molecule	N06BA03
wheat	biotech	
tropicamide	small molecule	S01FA06
triticum aestivum pollen	biotech	
pipecuronium	small molecule	M03AC06
puccinia graminis	biotech	
polidocanol	small molecule	C05BB02
mifepristone	small molecule	G03XB01
horseradish	biotech	
botulinum toxin type b	biotech	M03AX01
botulinum toxin type a	biotech	M03AX01
syagrus romanzoffiana pollen	biotech	
temoporfin	small molecule	L01XD05
piperaquine	small molecule	P01BF05
artemisia vulgaris root	biotech	
bivalirudin	small molecule	B01AE06
parachlorophenol	small molecule	
alpha-1-proteinase inhibitor	biotech	B02AB02
imipenem	small molecule	J01DH51
ferric cation	small molecule	V03AE08
alcaftadine	small molecule	S01GX11
l-valine	small molecule	
ketoprofen	small molecule	M01AE53
posaconazole	small molecule	J02AC04
iobenguane sulfate i-123	small molecule	
magnesium sulfate	small molecule	V04CC02
pistachio	biotech	
dyphylline	small molecule	R03DA51
american chestnut	biotech	
