drug	type	atc
streptococcus pneumoniae type 10a capsular polysaccharide antigen	biotech	
streptococcus pneumoniae type 1 capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
fenofibric acid	small molecule	C10AB11
allantoin	small molecule	
erythrityl tetranitrate	small molecule	C01DA13
juglans californica pollen	biotech	
captopril	small molecule	C09AA01
candida albicans	biotech	
beta carotene	small molecule	A11CA02
propiomazine	small molecule	N05CM06
secale cereale pollen	biotech	
choline	small molecule	
rolapitant	small molecule	
factor xiii (human)	biotech	
tasonermin	biotech	L03AX11
nicoboxil	small molecule	
mercaptopurine	small molecule	L01BB02
technetium tc-99m arcitumomab	biotech	V09IA06
griseofulvin	small molecule	D01AA08
cefalotin	small molecule	J01DB03
floctafenine	small molecule	N02BG04
erenumab	biotech	
gatifloxacin	small molecule	S01AE06
ceiba pentandra fiber	biotech	
succinylcholine	small molecule	M03AB01
latanoprost	small molecule	S01EE01
lycopene	small molecule	
netilmicin	small molecule	S01AA23
bromotheophylline	small molecule	R03DA20
calcitriol	small molecule	A11CC04
potassium alum	small molecule	
amifampridine	small molecule	N07XX05
penicillium italicum	biotech	
sodium ferric gluconate complex	small molecule	
xanthium strumarium var. canadense pollen	biotech	
passalora fulva	biotech	
vaborbactam	small molecule	
aureobasidium pullulans var. pullutans	biotech	
sulfacytine	small molecule	G01AE10
copper gluconate	small molecule	
rasburicase	biotech	V03AF07
chlorprothixene	small molecule	N05AF03
susoctocog alfa	biotech	B02BD14
anti-inhibitor coagulant complex	biotech	B02BD03
remikiren	small molecule	C09XA01
letrozole	small molecule	L02BG04
cyclomethicone 5	small molecule	
lipegfilgrastim	biotech	L03AA14
alipogene tiparvovec	biotech	C10AX10
tobacco leaf	biotech	
epinephrine	small molecule	R03AK01
isometheptene	small molecule	A03AX10
gamma hydroxybutyric acid	small molecule	
cladosporium sphaerospermum	biotech	
pargyline	small molecule	C02LL01
ergocalciferol	small molecule	A11CC01
noxytiolin	small molecule	B05CA07
dyclonine	small molecule	N01BX02
bevantolol	small molecule	C07AB06
nebivolol	small molecule	C07FB12
udenafil	small molecule	G04BE11
lima bean	biotech	
carbenicillin indanyl	small molecule	J01CR50
human papillomavirus type 6 l1 capsid protein antigen	biotech	
n-acetyltyrosine	small molecule	
fig	biotech	
cyclacillin	small molecule	J01CR50
acipimox	small molecule	C10AD06
curvularia inaequalis	biotech	
mequinol	small molecule	D11AX06
cefoperazone	small molecule	J01DD12
tenoxicam	small molecule	M01AC02
desmopressin	small molecule	H01BA02
demecarium	small molecule	S01EB04
celecoxib	small molecule	L01XX33
gadobutrol	small molecule	V08CA09
equilin	small molecule	
flurandrenolide	small molecule	D07AC07
ofloxacin	small molecule	J01MA01
acetic acid	small molecule	S02AA10
praziquantel	small molecule	P02BA01
aflibercept	biotech	L01XX44
oxygen	small molecule	V03AN01
n-alkyl ethylbenzyl dimethyl ammonium (c12-c14)	small molecule	
gentamicin	small molecule	S02AA14
losartan	small molecule	C09DA01
pipamperone	small molecule	N05AD05
flubendazole	small molecule	P02CA05
zinc gluconate	small molecule	A12CB02
l-cysteine	small molecule	
dimenhydrinate	small molecule	
benzoin resin	biotech	
indium in-111 satumomab pendetide	biotech	V09IB02
cetirizine	small molecule	R06AE07
allspice	biotech	
dolasetron	small molecule	A04AA04
vitamin d	small molecule	
bortezomib	small molecule	L01XX32
dacarbazine	small molecule	L01AX04
golimumab	biotech	L04AB06
flucloxacillin	small molecule	J01CR50
nitrite	small molecule	
iotrolan	small molecule	V08AB06
turnip	biotech	
peginterferon beta-1a	biotech	L03AB13
canakinumab	biotech	L04AC08
chondroitin sulfate	small molecule	M01AX25
aurothioglucose	small molecule	M01CB04
trifluoperazine	small molecule	N05AB06
oxybuprocaine	small molecule	S01HA02
capra hircus skin	biotech	
levocetirizine	small molecule	R06AE09
sebelipase alfa	biotech	A16AB14
pibrentasvir	small molecule	
trypan blue free acid	small molecule	
thrombin	biotech	B02BD30
human secretin	biotech	
fenethylline	small molecule	N06BA10
kiwi fruit	biotech	
seratrodast	small molecule	R03DX06
white fish	biotech	
cefradine	small molecule	J01DB09
hexaminolevulinate	small molecule	
etozoline	small molecule	
afamelanotide	small molecule	D02BB02
edoxudine	small molecule	D06BB09
azacitidine	small molecule	L01BC07
midodrine	small molecule	C01CA17
esmolol	small molecule	C07AB09
metoclopramide	small molecule	A03FA01
tyropanoic acid	small molecule	V08AC09
halothane	small molecule	N01AB01
efalizumab	biotech	L04AA21
sodium tetradecyl sulfate	small molecule	C05BB04
belimumab	biotech	L04AA26
prucalopride	small molecule	A06AX05
ketazolam	small molecule	N05BA10
metyrosine	small molecule	C02KB01
penbutolol	small molecule	C07CA23
chlorine	small molecule	
necitumumab	biotech	L01XC22
amlexanox	small molecule	A01AD07
grazoprevir	small molecule	
iophendylate	small molecule	V08AD04
butriptyline	small molecule	N06AA15
egg yolk	biotech	
metaxalone	small molecule	
citric acid	small molecule	A09AB04
silicon	small molecule	
pentaerythritol tetranitrate	small molecule	C01DA05
calcium threonate	small molecule	
peramivir	small molecule	
carbimazole	small molecule	H03BB01
isoetarine	small molecule	R03AC07
dornase alfa	biotech	R05CB13
sarracenia purpurea	biotech	
sulfaphenazole	small molecule	J01ED08
typha latifolia pollen	biotech	
primaquine	small molecule	P01BA03
succinic acid	small molecule	
atractylodes japonica root oil	small molecule	
ulmus crassifolia pollen	biotech	
human papillomavirus type 33 l1 capsid protein antigen	biotech	
eluxadoline	small molecule	
urea c-13	small molecule	
hexetidine	small molecule	A01AB12
